date,count,drug,expected_count,residual,zscore,is_anomaly_zscore,isolation_forest_score,is_anomaly_isoforest,is_anomaly_high_confidence
2022-09-28,24,amoxicillin,24.76,-0.76,-0.27,False,-0.122,False,False
2022-09-29,19,amoxicillin,26.01,-7.01,-1.38,False,-0.105,False,False
2022-09-30,39,amoxicillin,25.64,13.36,2.24,False,-0.052,False,False
2022-10-01,11,amoxicillin,5.81,5.19,0.68,False,-0.071,False,False
2022-10-02,2,amoxicillin,2.24,-0.24,-0.32,False,-0.093,False,False
2022-10-03,20,amoxicillin,24.26,-4.26,-1.02,False,-0.121,False,False
2022-10-04,29,amoxicillin,26.22,2.78,0.25,False,-0.139,False,False
2022-10-05,22,amoxicillin,25.19,-3.19,-0.9,False,-0.129,False,False
2022-10-06,27,amoxicillin,26.32,0.68,-0.17,False,-0.136,False,False
2022-10-07,29,amoxicillin,26.33,2.67,0.25,False,-0.114,False,False
2022-10-08,7,amoxicillin,5.97,1.03,-0.05,False,-0.124,False,False
2022-10-09,5,amoxicillin,2.21,2.79,0.27,False,-0.112,False,False
2022-10-10,28,amoxicillin,24.37,3.63,0.41,False,-0.116,False,False
2022-10-11,16,amoxicillin,26.71,-10.71,-2.13,False,-0.105,False,False
2022-10-12,27,amoxicillin,25.03,1.97,0.17,False,-0.13,False,False
2022-10-13,23,amoxicillin,26.41,-3.41,-0.75,False,-0.133,False,False
2022-10-14,18,amoxicillin,26.21,-8.21,-1.5,False,-0.104,False,False
2022-10-15,5,amoxicillin,5.33,-0.33,-0.11,False,-0.108,False,False
2022-10-16,0,amoxicillin,1.49,-1.49,-0.31,False,-0.095,False,False
2022-10-17,29,amoxicillin,23.45,5.55,0.88,False,-0.102,False,False
2022-10-18,17,amoxicillin,25.88,-8.88,-1.52,False,-0.107,False,False
2022-10-19,24,amoxicillin,24.29,-0.29,-0.1,False,-0.118,False,False
2022-10-20,32,amoxicillin,25.56,6.44,0.99,False,-0.114,False,False
2022-10-21,26,amoxicillin,25.85,0.15,-0.05,False,-0.135,False,False
2022-10-22,16,amoxicillin,5.37,10.63,1.55,False,-0.088,False,False
2022-10-23,2,amoxicillin,2.07,-0.07,-0.17,False,-0.124,False,False
2022-10-24,10,amoxicillin,24.1,-14.1,-2.14,False,-0.053,False,False
2022-10-25,24,amoxicillin,25.57,-1.57,-0.29,False,-0.121,False,False
2022-10-26,33,amoxicillin,24.34,8.66,1.42,False,-0.11,False,False
2022-10-27,25,amoxicillin,26.04,-1.04,-0.17,False,-0.139,False,False
2022-10-28,15,amoxicillin,25.97,-10.97,-1.67,False,-0.092,False,False
2022-10-29,12,amoxicillin,4.94,7.06,1.09,False,-0.096,False,False
2022-10-30,5,amoxicillin,1.47,3.53,0.63,False,-0.112,False,False
2022-10-31,34,amoxicillin,23.67,10.33,1.68,False,-0.085,False,False
2022-11-01,29,amoxicillin,26.34,2.66,0.42,False,-0.135,False,False
2022-11-02,22,amoxicillin,25.31,-3.31,-0.55,False,-0.124,False,False
2022-11-03,24,amoxicillin,26.43,-2.43,-0.38,False,-0.134,False,False
2022-11-04,32,amoxicillin,26.29,5.71,0.89,False,-0.1,False,False
2022-11-05,5,amoxicillin,6.08,-1.08,-0.2,False,-0.115,False,False
2022-11-06,0,amoxicillin,2.21,-2.21,-0.36,False,-0.095,False,False
2022-11-07,18,amoxicillin,24.13,-6.13,-0.94,False,-0.101,False,False
2022-11-08,20,amoxicillin,26.0,-6.0,-0.86,False,-0.128,False,False
2022-11-09,32,amoxicillin,24.54,7.46,1.21,False,-0.111,False,False
2022-11-10,39,amoxicillin,26.19,12.81,1.88,False,-0.061,False,False
2022-11-11,38,amoxicillin,26.79,11.21,1.53,False,-0.052,False,False
2022-11-12,3,amoxicillin,6.85,-3.85,-0.66,False,-0.055,False,False
2022-11-13,2,amoxicillin,2.85,-0.85,-0.26,False,-0.088,False,False
2022-11-14,30,amoxicillin,24.83,5.17,0.6,False,-0.066,False,False
2022-11-15,24,amoxicillin,27.25,-3.25,-0.63,False,-0.075,False,False
2022-11-16,25,amoxicillin,25.93,-0.93,-0.26,False,-0.093,False,False
