date,count,drug
2024-02-27,80,metformin
2024-02-28,89,metformin
2024-02-29,75,metformin
2024-03-01,83,metformin
2024-03-02,17,metformin
2024-03-03,13,metformin
2024-03-04,63,metformin
2024-03-05,71,metformin
2024-03-06,71,metformin
2024-03-07,56,metformin
2024-03-08,89,metformin
2024-03-09,1,metformin
2024-03-10,5,metformin
2024-03-11,59,metformin
2024-03-12,68,metformin
2024-03-13,63,metformin
2024-03-14,86,metformin
2024-03-15,79,metformin
2024-03-16,17,metformin
2024-03-17,8,metformin
2024-03-18,68,metformin
2024-03-19,66,metformin
2024-03-20,59,metformin
2024-03-21,65,metformin
2024-03-22,110,metformin
2024-03-23,7,metformin
2024-03-24,6,metformin
2024-03-25,50,metformin
2024-03-26,77,metformin
2024-03-27,53,metformin
2024-03-28,53,metformin
2024-03-29,65,metformin
2024-03-30,4,metformin
2024-03-31,4,metformin
2024-04-01,56,metformin
2024-04-02,53,metformin
2024-04-03,57,metformin
2024-04-04,76,metformin
2024-04-05,65,metformin
2024-04-06,14,metformin
2024-04-07,4,metformin
2024-04-08,80,metformin
2024-04-09,41,metformin
2024-04-10,70,metformin
2024-04-11,47,metformin
2024-04-12,63,metformin
2024-04-13,10,metformin
2024-04-14,10,metformin
2024-04-15,51,metformin
2024-04-16,55,metformin
2024-04-17,58,metformin
2024-04-18,52,metformin
2024-04-19,106,metformin
2024-04-20,16,metformin
2024-04-21,3,metformin
2024-04-22,51,metformin
2024-04-23,63,metformin
2024-04-24,59,metformin
2024-04-25,57,metformin
2024-04-26,69,metformin
2024-04-27,16,metformin
2024-04-28,3,metformin
2024-04-29,69,metformin
2024-04-30,64,metformin
2024-05-01,44,metformin
2024-05-02,76,metformin
2024-05-03,102,metformin
2024-05-04,19,metformin
2024-05-06,55,metformin
2024-05-07,58,metformin
2024-05-08,85,metformin
2024-05-09,50,metformin
2024-05-10,80,metformin
2024-05-11,13,metformin
2024-05-12,6,metformin
2024-05-13,45,metformin
2024-05-14,67,metformin
2024-05-15,59,metformin
2024-05-16,62,metformin
2024-05-17,65,metformin
2024-05-18,9,metformin
2024-05-19,7,metformin
2024-05-20,59,metformin
2024-05-21,60,metformin
2024-05-22,68,metformin
2024-05-23,60,metformin
2024-05-24,78,metformin
2024-05-25,9,metformin
2024-05-26,7,metformin
2024-05-27,59,metformin
2024-05-28,71,metformin
2024-05-29,42,metformin
2024-05-30,52,metformin
2024-05-31,60,metformin
2024-06-01,17,metformin
2024-06-02,3,metformin
2024-06-03,60,metformin
2024-06-04,59,metformin
2024-06-05,55,metformin
2024-06-06,61,metformin
2024-06-07,70,metformin
2024-06-08,5,metformin
2024-06-09,6,metformin
2024-06-10,51,metformin
2024-06-11,59,metformin
2024-06-12,62,metformin
2024-06-13,55,metformin
2024-06-14,52,metformin
2024-06-15,15,metformin
2024-06-16,3,metformin
2024-06-17,47,metformin
2024-06-18,48,metformin
2024-06-19,48,metformin
2024-06-20,75,metformin
2024-06-21,70,metformin
2024-06-22,5,metformin
2024-06-23,4,metformin
2024-06-24,61,metformin
2024-06-25,66,metformin
2024-06-26,74,metformin
2024-06-27,70,metformin
2024-06-28,68,metformin
2024-06-29,18,metformin
